SensorA, 0.0468, 0.0642, 0.9522
SensorA, 0.0992, 0.1161, 1.0191
SensorA, 0.1255, 0.1196, 1.0567
SensorA, 0.1105, 0.1162, 1.003
SensorA, 0.104, 0.1341, 1.0209
SensorA, 0.1014, 0.1065, 1.0238
SensorA, 0.101, 0.1187, 1.0223
SensorA, 0.0889, 0.1235, 1.0063
SensorA, 0.0919, 0.1137, 1.0401
SensorA, 0.0998, 0.1261, 1.027
SensorA, 0.1116, 0.187, 1.0619
SensorA, 0.1106, 0.1166, 1.0297
SensorA, 0.1026, 0.1347, 1.0224
SensorA, 0.1121, 0.1344, 1.0196
SensorA, 0.1082, 0.12, 1.0684
SensorA, 0.0928, 0.1181, 1.0229
SensorA, 0.1161, 0.1217, 1.0705
SensorA, 0.0986, 0.1168, 1.0769
SensorA, 0.1012, 0.1219, 1.041
SensorA, 0.1038, 0.1198, 1.0206
SensorA, 0.1042, 0.1199, 1.0166
SensorA, 0.1354, 0.1656, 1.0873
SensorA, 1.1165, 1.0104, 1.7954
SensorA, 1.7983, 1.5979, 1.9796
SensorA, 0.1087, 0.1373, 1.0141
SensorA, 4.1359, 3.636, 4.1285
SensorA, 2.5798, 1.5928, 2.6725
SensorA, 1.8332, 1.0176, 2.1167
SensorA, 0.0936, 0.1458, 1.0155
SensorA, 0.1043, 0.127, 1.0192
SensorA, 0.1021, 0.1305, 1.0055
SensorA, 0.0909, 0.1347, 1.0265
SensorA, 0.0854, 0.113, 1.0331
SensorA, 0.0881, 0.1255, 1.05
SensorA, 0.0983, 0.1305, 1.0464
SensorA, 0.0993, 0.1313, 1.0585
SensorA, 0.0931, 0.1273, 1.0231
SensorA, 0.088, 0.1174, 1.0583
SensorA, 0.0953, 0.14, 1.033
SensorA, 0.0857, 0.1327, 1.0849
SensorA, 0.1019, 0.1218, 1.028
SensorA, 0.0865, 0.1131, 1.0081
SensorA, 0.1027, 0.1403, 1.0585
SensorA, 0.0963, 0.1208, 1.0432
SensorA, 0.0795, 0.1239, 1.0541
SensorA, 0.3097, 0.7898, 1.7709
SensorA, 0.0974, 0.1282, 1.029
SensorA, 0.1082, 0.1438, 1.064
SensorA, 0.1165, 0.1459, 1.0758
SensorA, 0.1001, 0.1143, 1.0402
SensorA, 0.0937, 0.1329, 1.0365
SensorA, 0.0855, 0.122, 1.0433
SensorA, 0.1078, 0.1374, 1.0433
SensorA, 0.0889, 0.1297, 1.0674
SensorA, 0.091, 0.1332, 1.03
SensorA, 0.0955, 0.134, 1.0335
SensorA, 3.6687, 1.8401, 2.4563
SensorA, 6.5424, 2.9648, 4.041
SensorA, 4.4694, 1.2696, 2.6147
SensorA, 0.0943, 0.1251, 1.0724
SensorA, 0.0835, 0.1282, 1.0748
SensorA, 0.0917, 0.1315, 1.02
SensorA, 0.0931, 0.1378, 1.0463
SensorA, 0.0896, 0.1276, 1.0518
SensorA, 0.1979, 0.1269, 1.0793
SensorA, 0.0971, 0.1323, 1.0285
SensorA, 0.0945, 0.141, 1.0135
SensorA, 0.1047, 0.1502, 1.0417
SensorA, 0.0835, 0.1169, 1.0514
SensorA, 0.0883, 0.1292, 1.0274
SensorA, 0.1099, 0.145, 1.0301
SensorA, 0.1058, 0.1769, 1.0945
SensorA, 0.1301, 0.173, 1.0366
SensorA, 0.0997, 0.128, 1.0682
SensorA, 0.0854, 0.1281, 1.0292
SensorA, 0.0821, 0.1317, 1.0544
SensorA, 0.1058, 0.1553, 1.0454
SensorA, 0.092, 0.1333, 1.0074
SensorA, 0.0884, 0.1197, 1.0168
SensorA, 0.0878, 0.1316, 1.0289
SensorA, 0.0896, 0.1334, 1.0238
SensorA, 0.0986, 0.1301, 1.0089
SensorA, 0.0855, 0.1243, 1.0159
SensorA, 0.0897, 0.1327, 1.0206
SensorA, 0.0874, 0.1554, 1.0209
SensorA, 0.0795, 0.1367, 1.0721
SensorA, 0.0984, 0.1225, 1.0056
SensorA, 0.0875, 0.1175, 1.0462
SensorA, 0.0941, 0.1339, 1.0148
SensorA, 0.0891, 0.125, 1.0758
SensorA, 0.0978, 0.1443, 1.0453
SensorA, 0.0846, 0.1213, 1.0238
SensorA, 0.0982, 0.126, 1.0161
SensorA, 0.1474, 0.1722, 1.0257
SensorA, 0.0942, 0.1219, 1.0323
SensorA, 0.0892, 0.1227, 1.0858
SensorA, 0.0863, 0.1303, 1.0184
SensorA, 0.0958, 0.1563, 1.0373
SensorA, 0.097, 0.125, 1.0197
SensorA, 0.0886, 0.1233, 1.0678
SensorA, 0.0798, 0.1177, 1.0079
SensorA, 0.0969, 0.1336, 1.0273
SensorA, 0.0827, 0.109, 1.0174
SensorA, 0.0971, 0.1311, 1.0397
SensorA, 0.0837, 0.1252, 1.0395
SensorA, 0.0962, 0.1381, 1.0209
SensorA, 0.0875, 0.1199, 1.0401
SensorA, 0.0948, 0.1178, 1.0109
SensorA, 0.1039, 0.1319, 1.0238
SensorA, 0.0876, 0.1372, 1.0213
SensorA, 0.0841, 0.1239, 1.0043
SensorA, 0.0946, 0.1323, 1.0214
SensorA, 0.0844, 0.1263, 1.0156
SensorA, 0.0865, 0.1276, 1.0625
SensorA, 0.0997, 0.1214, 1.0273
SensorA, 0.0754, 0.1194, 1.0393
SensorA, 0.0772, 0.1107, 1.0093
SensorA, 0.0815, 0.1602, 1.0265
SensorA, 0.0836, 0.1146, 1.0065
SensorA, 0.141, 0.1196, 1.0604
SensorA, 0.0764, 0.1239, 1.0287
SensorA, 0.1199, 0.1632, 1.0525
SensorA, 0.0312, 0.0708, 0.9376
SensorA, 0.0957, 0.1526, 1.0314
SensorA, 0.0838, 0.1243, 1.0329
SensorA, 0.0744, 0.124, 1.0064
SensorA, 0.0822, 0.131, 1.0303
SensorA, 0.0757, 0.1208, 1.0069
SensorA, 0.0829, 0.1346, 1.0109
SensorA, 0.0855, 0.1168, 1.0153
SensorA, 0.0832, 0.1158, 1.0326
